[2025-06-22 18:15:44]   30 | INFO     | Splitting the train and test arrays
[2025-06-22 18:15:44]   87 | INFO     | Evaluating all models using cross-validation...
[2025-06-22 18:15:44]   35 | INFO     | Starting GridSearchCV for: LinearRegression
[2025-06-22 18:15:46]   41 | INFO     | Best params for LinearRegression: {}
[2025-06-22 18:15:46]   45 | INFO     | Model LinearRegression trained with best parameters.
[2025-06-22 18:15:46]   71 | INFO     | Evaluation completed for LinearRegression with Test R2: 0.5224
[2025-06-22 18:15:46]   35 | INFO     | Starting GridSearchCV for: Lasso
[2025-06-22 18:15:58]   41 | INFO     | Best params for Lasso: {'alpha': 0.01, 'max_iter': 1000}
[2025-06-22 18:16:04]   45 | INFO     | Model Lasso trained with best parameters.
[2025-06-22 18:16:04]   71 | INFO     | Evaluation completed for Lasso with Test R2: 0.5226
[2025-06-22 18:16:04]   35 | INFO     | Starting GridSearchCV for: Ridge
[2025-06-22 18:16:05]   41 | INFO     | Best params for Ridge: {'alpha': 0.1, 'solver': 'auto'}
[2025-06-22 18:16:05]   45 | INFO     | Model Ridge trained with best parameters.
[2025-06-22 18:16:05]   71 | INFO     | Evaluation completed for Ridge with Test R2: 0.5224
[2025-06-22 18:16:05]   35 | INFO     | Starting GridSearchCV for: ElasticNet
[2025-06-22 18:16:29]   41 | INFO     | Best params for ElasticNet: {'alpha': 0.01, 'l1_ratio': 0.9, 'max_iter': 1000}
[2025-06-22 18:16:36]   45 | INFO     | Model ElasticNet trained with best parameters.
[2025-06-22 18:16:36]   71 | INFO     | Evaluation completed for ElasticNet with Test R2: 0.5225
[2025-06-22 18:16:36]   35 | INFO     | Starting GridSearchCV for: KNeighborsRegressor
[2025-06-22 18:16:42]   41 | INFO     | Best params for KNeighborsRegressor: {'n_neighbors': 9, 'weights': 'distance'}
